"","data.GSM545818","data.GSM545819","data.GSM545820","data.GSM545821","data.GSM545822","data.GSM545823","data.GSM545824","data.GSM545825","data.GSM545826","data.GSM545827","data.GSM545828","data.GSM545829","data.GSM545830","data.GSM545831","data.GSM545832","data.GSM545833","data.GSM545834","data.GSM545835","data.GSM545836","data.GSM545837","data.GSM545838","data.GSM545839","data.GSM545840","data.GSM545841","data.GSM545842","data.GSM545843","data.GSM545845"
"ENTREZID:399753",7.0917,7.013462,6.859224,7.268659,7.171927,7.181898,8.040564,8.021258,7.520422,7.981282,7.772809,7.599913,6.106432,8.698357,7.436295,7.044394,6.630813,5.399171,6.024586,6.841722,5.399171,5.495056,6.711495,6.3733,7.012345,6.837943,6.956521
"ENTREZID:54901",5.129283,6.589464,6.257388,5.557655,6.543805,3.321928,5.949535,6.249825,6.261155,5.456149,5.121015,3.744161,5.850499,5.040016,6.108524,4.432959,4.240314,4.371559,4.247928,4.364572,3.906891,3.744161,3.867896,3.744161,4.426265,5.53294,3.765535
"ENTREZID:388",6.765535,7.380245,6.861707,6.063934,6.171927,5.825277,6.514122,5.314697,6.716991,6.655352,6.05745,5.442943,4.981853,5.658211,6.375039,5.022368,5.153805,4.578939,5.405992,4.930737,4.336283,5.004501,4.925999,4.270529,6.67101,5.870365,5.137504
"ENTREZID:79901",5.501439,5.725196,5.385431,5.116864,5.523562,5.825277,5.517276,5.296457,4.364572,6.610287,5.88996,5.100137,5.860466,4.554589,6.626439,4.232661,3.498251,4.542258,3.632268,3.754888,5.536053,5.0268,3.307429,4.044394,4.958843,5.629357,5.008989
"ENTREZID:9022",8.548822,7.512543,9.164656,8.639883,7.962318,7.676662,9.492855,9.320124,8.395748,9.049304,6.88142,7.522778,8.137504,8.889656,8.280307,7.745506,5.815063,5.944858,6.371559,5.683696,6.139551,6.931919,7.813781,8.043848,8.399598,8.447497,7.557655
"ENTREZID:7531",7.090642,7.714932,6.965784,7.128252,7.406843,7.309249,7.067165,7.144658,7.573647,7.35931,6.888743,6.693487,6.343408,7.353147,7.736064,5.995485,5.887525,5.149747,6.042207,4.426265,5.76288,5.817623,5.719731,5.663914,8.430871,7.536053,6.98982
"ENTREZID:645744",6.874059,6.514122,6.924813,7.641691,7.196725,6.877744,7.174926,6.882643,7.23362,7.286327,6.540709,7.055282,5.1127,7.422065,7.108524,4.791814,5.840463,6.081084,6.015694,5.663914,3.847997,5.482203,6.584963,5.847997,6.960002,6.584963,7.008989
"ENTREZID:3458",6.70044,5.277985,5.270529,7.694184,6.546894,6.521993,6.006747,6.343408,7.065012,6.321928,6.078951,7.462707,5.951868,5.626439,5.786596,4.963474,4.078951,6.327328,4.510962,4.070389,4.930737,6.309249,4.963474,5.442943,5.942515,5.902074,6.002252
"ENTREZID:28590",6.876517,6.78398,7.188836,10.163775,6.972693,7.457791,6.559186,6.539159,7.303781,6.817623,7.860466,8.770499,6.321928,7.453682,7.004501,6.643856,7.169925,5.804776,6.0917,5.661065,5.92837,6.044394,6.098032,6.707359,6.255501,6.539159,6.577429
"ENTREZID:2537",8.1127,9.795877,7.749534,8.223519,7.508587,7.255501,7.678776,7.34074,7.53683,7.871597,7.656782,7.055282,7.230741,7.795066,6.909293,5.666757,7.820179,4.620586,8.775116,4.842979,7.017922,5.799605,7.312883,5.332708,7.266787,6.553053,6.636625
"ENTREZID:4818",13.216049,11.794375,12.774581,13.542524,12.877169,12.576012,13.202338,13.26563,13.292523,13.051753,12.294908,13.069953,12.572582,12.571539,12.448633,11.701523,10.346846,12.112407,12.066527,9.861552,10.228698,11.967875,11.735302,12.321787,13.405394,13.305706,12.576012
"ENTREZID:4069",15.071538,15.704452,15.497172,11.266962,13.86346,15.143798,15.314948,15.650917,15.627973,15.48214,15.33077,15.468691,15.401443,14.866371,15.629294,9.733185,13.904343,13.403278,9.791489,13.939148,11.279843,14.271696,13.973437,14.042523,14.827338,14.955241,15.463416
"ENTREZID:10219",9.54593,7.930737,7.246978,10.013462,9.39532,9.410875,8.975275,9.178167,9.543225,9.735894,9.050121,9.706496,7.914684,8.753885,7.915879,7.892998,5.995485,8.527868,6.219169,7.499846,6.044394,8.216261,6.986411,8.5157,9.157347,9.425636,9.327328
"ENTREZID:267",8.076281,3,6.557655,7.021258,5.061776,3.678072,4.608809,4.791814,4.867896,5.247928,8.086932,6.531381,6.885086,5,8.217231,4.944858,4.638074,3.560715,4.944858,4.145677,3.93546,3.689299,5.121015,3.560715,4.478972,6.725196,3.392317
